id,identifier,species_id,height,weight,base_experience,order,is_default,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass
22,fearow,22,12,380,155,26,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #023 #023 Ekans Ekans Poison
23,ekans,23,20,69,58,27,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #024 #024 Arbok Arbok Poison
24,arbok,24,35,650,153,28,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #025 #025 Pikachu Pikachu Electric
25,pikachu,25,4,60,112,30,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #026 #026 Raichu Raichu Electric
26,raichu,26,8,300,218,31,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #027 #027 Sandshrew Sandshrew Ground
27,sandshrew,27,6,120,60,32,1,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #028 #028 Sandslash Sandslash Ground
28,sandslash,28,10,295,158,33,1,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #029 #029 Nidoran_ Nidoran_ Poison
29,nidoran-f,29,4,70,55,34,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #030 #030 Nidorina Nidorina Poison
30,nidorina,30,8,200,128,35,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #031 #031 Nidoqueen Nidoqueen Poison Ground
31,nidoqueen,31,13,600,227,36,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #032 #032 Nidoran_ Nidoran_ Poison
32,nidoran-m,32,5,90,55,37,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #033 #033 Nidorino Nidorino Poison
33,nidorino,33,9,195,128,38,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #034 #034 Nidoking Nidoking Poison Ground
34,nidoking,34,14,620,227,39,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #035 #035 Clefairy Clefairy Fairy
35,clefairy,35,6,75,113,41,1,fairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #036 #036 Clefable Clefable Fairy
36,clefable,36,13,400,217,42,1,fairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #037 #037 Vulpix Vulpix Fire
37,vulpix,37,6,99,60,43,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #038 #038 Ninetales Ninetales Fire
38,ninetales,38,11,199,177,44,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #039 #039 Jigglypuff Jigglypuff Normal Fairy
39,jigglypuff,39,5,55,95,46,1,fairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #040 #040 Wigglytuff Wigglytuff Normal Fairy
40,wigglytuff,40,10,120,196,47,1,fairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #041 #041 Zubat Zubat Poison Flying
41,zubat,41,8,75,49,48,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #042 #042 Golbat Golbat Poison Flying
42,golbat,42,16,550,159,49,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #043 #043 Oddish Oddish Grass Poison
43,oddish,43,5,54,64,51,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #044 #044 Gloom Gloom Grass Poison
44,gloom,44,8,86,138,52,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #045 #045 Vileplume Vileplume Grass Poison
45,vileplume,45,12,186,221,53,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #046 #046 Paras Paras Bug Grass
46,paras,46,3,54,57,55,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #047 #047 Parasect Parasect Bug Grass
47,parasect,47,10,295,142,56,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #048 #048 Venonat Venonat Bug Poison
48,venonat,48,10,300,61,57,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #049 #049 Venomoth Venomoth Bug Poison
49,venomoth,49,15,125,158,58,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #050 #050 Diglett Diglett Ground
50,diglett,50,2,8,53,59,1,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #051 #051 Dugtrio Dugtrio Ground
51,dugtrio,51,7,333,142,60,1,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #052 #052 Meowth Meowth Normal
52,meowth,52,4,42,58,61,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #053 #053 Persian Persian Normal
53,persian,53,10,320,154,62,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #054 #054 Psyduck Psyduck Water
54,psyduck,54,8,196,64,63,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #055 #055 Golduck Golduck Water
55,golduck,55,17,766,175,64,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #056 #056 Mankey Mankey Fighting
56,mankey,56,5,280,61,65,1,fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #057 #057 Primeape Primeape Fighting
57,primeape,57,10,320,159,66,1,fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #058 #058 Growlithe Growlithe Fire
58,growlithe,58,7,190,70,67,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #059 #059 Arcanine Arcanine Fire
59,arcanine,59,19,1550,194,68,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #060 #060 Poliwag Poliwag Water
60,poliwag,60,6,124,60,69,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #061 #061 Poliwhirl Poliwhirl Water
61,poliwhirl,61,10,200,135,70,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #062 #062 Poliwrath Poliwrath Water Fighting
62,poliwrath,62,13,540,230,71,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #063 #063 Abra Abra Psychic
63,abra,63,9,195,62,73,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #064 #064 Kadabra Kadabra Psychic
64,kadabra,64,13,565,140,74,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #065 #065 Alakazam Alakazam Psychic
65,alakazam,65,15,480,225,75,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #066 #066 Machop Machop Fighting
66,machop,66,8,195,61,77,1,fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #067 #067 Machoke Machoke Fighting
67,machoke,67,15,705,142,78,1,fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #068 #068 Machamp Machamp Fighting
68,machamp,68,16,1300,227,79,1,fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #069 #069 Bellsprout Bellsprout Grass Poison
69,bellsprout,69,7,40,60,80,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #070 #070 Weepinbell Weepinbell Grass Poison
70,weepinbell,70,10,64,137,81,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #071 #071 Victreebel Victreebel Grass Poison
71,victreebel,71,17,155,221,82,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #072 #072 Tentacool Tentacool Water Poison
72,tentacool,72,9,455,67,83,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #073 #073 Tentacruel Tentacruel Water Poison
73,tentacruel,73,16,550,180,84,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #074 #074 Geodude Geodude Rock Ground
74,geodude,74,4,200,60,85,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #075 #075 Graveler Graveler Rock Ground
75,graveler,75,10,1050,137,86,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #076 #076 Golem Golem Rock Ground
76,golem,76,14,3000,223,87,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #077 #077 Ponyta Ponyta Fire
77,ponyta,77,10,300,82,88,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #078 #078 Rapidash Rapidash Fire
78,rapidash,78,17,950,175,89,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #079 #079 Slowpoke Slowpoke Water Psychic
79,slowpoke,79,12,360,63,90,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #080 #080 Slowbro Slowbro Water Psychic
80,slowbro,80,16,785,172,91,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #081 #081 Magnemite Magnemite Electric Steel
81,magnemite,81,3,60,65,93,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #082 #082 Magneton Magneton Electric Steel
82,magneton,82,10,600,163,94,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #083 #083 Farfetch'd Farfetch'd Normal Flying
83,farfetchd,83,8,150,123,96,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #084 #084 Doduo Doduo Normal Flying
84,doduo,84,14,392,62,97,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #085 #085 Dodrio Dodrio Normal Flying
85,dodrio,85,18,852,161,98,1,flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #086 #086 Seel Seel Water
86,seel,86,11,900,65,99,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #087 #087 Dewgong Dewgong Water Ice
87,dewgong,87,17,1200,166,100,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #088 #088 Grimer Grimer Poison
88,grimer,88,9,300,65,101,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #089 #089 Muk Muk Poison
89,muk,89,12,300,175,102,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #090 #090 Shellder Shellder Water
90,shellder,90,3,40,61,103,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #091 #091 Cloyster Cloyster Water Ice
91,cloyster,91,15,1325,184,104,1,cloyster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #092 #092 Gastly Gastly Ghost Poison
92,gastly,92,13,1,62,105,1,ghost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #093 #093 Haunter Haunter Ghost Poison
93,haunter,93,16,1,142,106,1,ghost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #094 #094 Gengar Gengar Ghost Poison
94,gengar,94,15,405,225,107,1,gengar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #095 #095 Onix Onix Rock Ground
95,onix,95,88,2100,77,109,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #096 #096 Drowzee Drowzee Psychic
96,drowzee,96,10,324,66,111,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #097 #097 Hypno Hypno Psychic
97,hypno,97,16,756,169,112,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #098 #098 Krabby Krabby Water
98,krabby,98,4,65,65,113,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #099 #099 Kingler Kingler Water
99,kingler,99,13,600,166,114,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #100 #100 Voltorb Voltorb Electric
100,voltorb,100,5,104,66,115,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #101 #101 Electrode Electrode Electric
101,electrode,101,12,666,168,116,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #102 #102 Exeggcute Exeggcute Grass Psychic
102,exeggcute,102,4,25,65,117,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #103 #103 Exeggutor Exeggutor Grass Psychic
103,exeggutor,103,20,1200,182,118,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #104 #104 Cubone Cubone Ground
104,cubone,104,4,65,64,119,1,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #105 #105 Marowak Marowak Ground
105,marowak,105,10,450,149,120,1,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #106 #106 Hitmonlee Hitmonlee Fighting
106,hitmonlee,106,15,498,159,122,1,fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #107 #107 Hitmonchan Hitmonchan Fighting
107,hitmonchan,107,14,502,159,123,1,fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #108 #108 Lickitung Lickitung Normal
108,lickitung,108,12,655,77,125,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #109 #109 Koffing Koffing Poison
109,koffing,109,6,10,68,127,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #110 #110 Weezing Weezing Poison
110,weezing,110,12,95,172,128,1,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #111 #111 Rhyhorn Rhyhorn Ground Rock
111,rhyhorn,111,10,1150,69,129,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #112 #112 Rhydon Rhydon Ground Rock
112,rhydon,112,19,1200,170,130,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #113 #113 Chansey Chansey Normal
113,chansey,113,11,346,395,133,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #114 #114 Tangela Tangela Grass
114,tangela,114,10,350,87,135,1,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #115 #115 Kangaskhan Kangaskhan Normal
115,kangaskhan,115,22,800,172,137,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #116 #116 Horsea Horsea Water
116,horsea,116,4,80,59,139,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #117 #117 Seadra Seadra Water
117,seadra,117,12,250,154,140,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #118 #118 Goldeen Goldeen Water
118,goldeen,118,6,150,64,142,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #119 #119 Seaking Seaking Water
119,seaking,119,13,390,158,143,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #120 #120 Staryu Staryu Water
120,staryu,120,8,345,68,144,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #121 #121 Starmie Starmie Water Psychic
121,starmie,121,11,800,182,145,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #122 #122 Mr. Mime Mr. Mime Psychic Fairy
122,mr-mime,122,13,545,161,147,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #123 #123 Scyther Scyther Bug Flying
123,scyther,123,15,560,100,148,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #124 #124 Jynx Jynx Ice Psychic
124,jynx,124,14,406,159,152,1,psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #125 #125 Electabuzz Electabuzz Electric
125,electabuzz,125,11,300,172,154,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #126 #126 Magmar Magmar Fire
126,magmar,126,13,445,173,157,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #127 #127 Pinsir Pinsir Bug
127,pinsir,127,15,550,175,159,1,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #128 #128 Tauros Tauros Normal
128,tauros,128,14,884,172,161,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #129 #129 Magikarp Magikarp Water
129,magikarp,129,9,100,40,162,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #130 #130 Gyarados Gyarados Water Flying
130,gyarados,130,65,2350,189,163,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #131 #131 Lapras Lapras Water Ice
131,lapras,131,25,2200,187,165,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #132 #132 Ditto Ditto Normal
132,ditto,132,3,40,101,166,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #133 #133 Eevee Eevee Normal
133,eevee,133,3,65,65,167,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #134 #134 Vaporeon Vaporeon Water
134,vaporeon,134,10,290,184,168,1,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #135 #135 Jolteon Jolteon Electric
135,jolteon,135,8,245,184,169,1,electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #136 #136 Flareon Flareon Fire
136,flareon,136,9,250,184,170,1,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #137 #137 Porygon Porygon Normal
137,porygon,137,8,365,79,176,1,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #138 #138 Omanyte Omanyte Rock Water
138,omanyte,138,4,75,71,179,1,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ê Ê Ê Ê #139 #139 Omastar Omastar Rock Water
